,Volume,SegmentID,Rotation,L/R
0,wd0000_ps_image,Segment_15,1.066595191,L
1,wd0000_ps_image,Segment_16,2.186117164,L
2,wd0000_ps_image,Segment_17,2.559451295,L
3,wd0000_ps_image,Segment_18,1.477359379,L
4,wd0000_ps_image,Segment_19,0.946045082,L
5,wd0000_ps_image,Segment_20,-0.361444894,L
6,wd0000_ps_image,Segment_21,-0.989481471,L
7,wd0000_ps_image,Segment_22,-1.117924729,L
8,wd0000_ps_image,Segment_23,-0.237795664,L
9,wd0000_ps_image,Segment_24,-0.242600122,L
10,wd0016_ps_image,Segment_16,3.95229811,N
11,wd0016_ps_image,Segment_17,3.981257142,N
12,wd0016_ps_image,Segment_18,4.77639747,N
13,wd0016_ps_image,Segment_19,5.267757585,N
14,wd0016_ps_image,Segment_20,4.800141362,N
15,wd0016_ps_image,Segment_21,4.117599755,N
16,wd0016_ps_image,Segment_22,4.2623829,N
17,wd0016_ps_image,Segment_23,4.691947949,N
18,wd0016_ps_image,Segment_24,3.394209503,N
19,wd0020_ps_image,Segment_17,1.774971893,N
20,wd0020_ps_image,Segment_18,0.23829595,N
21,wd0020_ps_image,Segment_19,0.270750595,N
22,wd0020_ps_image,Segment_20,0.795612602,N
23,wd0020_ps_image,Segment_21,1.094901124,N
24,wd0020_ps_image,Segment_22,2.152568647,N
25,wd0020_ps_image,Segment_23,1.073024011,N
26,wd0026_ps_image,Segment_18,-3.059885315,R
27,wd0026_ps_image,Segment_19,-2.063760401,R
28,wd0026_ps_image,Segment_20,-4.433949786,R
29,wd0026_ps_image,Segment_21,-7.219142304,R
30,wd0026_ps_image,Segment_22,-9.19671165,R
31,wd0026_ps_image,Segment_23,-8.2067205,R
32,wd0026_ps_image,Segment_24,-5.317528704,R
33,wd0028_ps_image,Segment_18,2.897171058,R
34,wd0028_ps_image,Segment_19,2.043518052,R
35,wd0028_ps_image,Segment_20,2.789604255,R
36,wd0028_ps_image,Segment_21,3.74340154,R
37,wd0028_ps_image,Segment_22,3.148661283,R
38,wd0031_ps_image,Segment_18,-2.997239395,L
39,wd0031_ps_image,Segment_19,-3.918701917,L
40,wd0031_ps_image,Segment_20,-6.43857614,L
41,wd0031_ps_image,Segment_21,-5.415993603,L
42,wd0031_ps_image,Segment_22,-6.219054447,L
43,wd0031_ps_image,Segment_23,-5.137140641,L
